,ID,Tên quán,Đánh giá,Sáng/Trưa/Tối,Giờ mở cửa,Giá tiền,Địa chỉ,Media,Lat,Lon,TestLat,TestLon
,E036,Chả Ram Bắp Nem Nướng Tân Long,4.5,Trưa/Tối,11:00 - 21:00,50.000,"290 Đ. Bùi Thị Xuân, Phường 2, Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@miulinhmap/video/7558081172924910856?q=Ch%E1%BA%A3%20Ram%20B%E1%BA%AFp%20Nem%20N%C6%B0%E1%BB%9Bng%20T%C3%A2n%20Long&t=1761402594481,"11,9540691","108,4414168","11,9540691","108,4414168"
,E037,Phở Thố Chu Gia,4.5,Sáng/Trưa/Tối,6:30 - 22:00,75.000,"29 Đường Thông Thiên Học, Phường 2, Đà Lạt, Lâm Đồng 66000, Việt Nam",https://www.tiktok.com/@dalatangi.1phutdalat/video/7520821141351697682?q=Ph%E1%BB%9F%20Th%E1%BB%91%20Chu%20Gia&t=1761402668938,"11,9527673","108,4370478","11,9527673","108,4370478"
,E038,Lẩu Cá Tầm Tuyên 2 Đà Lạt,4.8,Trưa/Tối,10:00 - 22:00,100.000 - 200.000,"Khu quy hoạch/Lô 75 Nguyễn Công Trứ, Phường 2, Đà Lạt, Lâm Đồng 67000, Việt Nam",https://www.tiktok.com/@banandalat/video/7473457785016012040?is_from_webapp=1&sender_device=pc&web_id=7556174144980862472,"11,9546146","108,4327331","11,9546146","108,4327331"
,E039,Bánh mì chảo Tasty,4.7,Sáng/Trưa/Tối,06:00 - 18:00,100.000,"245 Đường Hai Bà Trưng, Phường 2, Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@ngocduy_diachianuong/video/7445980391686606087?is_from_webapp=1&sender_device=pc&web_id=7556174144980862472,"11,949513","108,4324009","1,1949513","108,4324009"
,E040,Bánh căn A Cát,4.2,Sáng/Trưa/Tối,7:00 - 22:00,100.000,"H55 Nguyễn Thị Nghĩa, Phường 2, Đà Lạt, Lâm Đồng 66109, Việt Nam",https://www.tiktok.com/@tuthoreview/video/7493884454008556808?is_from_webapp=1&sender_device=pc&web_id=7556174144980862472,"11,9494817","108,440392","11,9494817","10,8440392"
,E041,Fungi Chingu,4.7,Trưa/Tối,11:00 - 14:00 và 17:00 - 22:00,100.000 - 200.000,"29 Đường Võ Thị Sáu, Phường 2, Đà Lạt, Lâm Đồng 66109, Việt Nam",https://www.tiktok.com/@thanhantv.official/video/7061146853038902554?q=Fungi%20Chingu&t=1761403129722,"11,9494471","108,4385004","11,9494471","108,4385004"
,E042,Bánh Canh Cá Lóc Chú La,4.1,Sáng/Trưa/Tối,06:00 - 21:30,100.000,"148 Đường Bùi Thị Xuân, Phường 2, Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@nhandian/video/7164362179251080474?is_from_webapp=1&sender_device=pc&web_id=7556174144980862472,"11,9487238","108,4393198","11,9487238","108,4393198"
,E043,Tiệm Mì Tàu Cao,4.2,Sáng/Trưa/Tối,06:00 - 19:00,100.000,"217 Phan Đình Phùng, Phường 2, Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@didalat.review/video/7404431914699918600?is_from_webapp=1&sender_device=pc&web_id=7556174144980862472,"11,9473836","108,4355968","11,9473836","108,4355968"
,E044,Phở Phi Thuyền,4.5,Sáng/Tối,06:00 - 11:00 và 18:00 - 21:00,100.000,"78 Phan Đình Phùng, Phường 2, Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@onghoangthichdumuc/video/7265317395655429377?is_from_webapp=1&sender_device=pc&web_id=7556174144980862472,"11,9455093","108,4349564","11,9455093","108,4349564"
,E045,MiMi Sushi & Pizza Restaurant,4.7,Trưa/Tối,10:00 - 14:00 và 16:00 - 22:00,100.000 - 200.000,"103 Đường Bùi Thị Xuân, Phường 2, Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@didalatcungtruc/video/7205889378751614235?is_from_webapp=1&sender_device=pc&web_id=7556174144980862472,"11,9465401","108,4401","11,9465401","0,1084401"
,E046,Cháo Ếch Singapore 151 Đà Lạt,4.2,Trưa/Tối,09:30 - 22:00,100.000,"151 Đường Bùi Thị Xuân, Phường 2, Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@elricreviewer/video/7177713727200955675?is_from_webapp=1&sender_device=pc&web_id=7556174144980862472,"11,9484456","108,4392633","11,9484456","108,4392633"
